# 1:t 2:pos.x 3:pos.y 4:pos.z 5:volume 6:rho 7:vel.x 8:vel.y 9:vel.z 10:p 11:a 12:mu 13:k 14:mu_t 15:k_t 16:S 17:tke 18:omega 19:massf[0]-H2 20:massf[1]-O2 21:massf[2]-N2 22:dt_chem 23:u 24:T 
1.352267354346924057e-06 3.011666666666762762e-02 1.198627255925946607e-02 0.000000000000000000e+00 3.699890881158089586e-08 5.243931235364296915e-03 -1.294586694091168894e-04 -2.886767612822563850e-09 0.000000000000000000e+00 3.845008487103669381e+02 3.203250276773979408e+02 1.619296819877949462e-05 2.290600558445672619e-02 0.000000000000000000e+00 0.000000000000000000e+00 0 0.000000000000000000e+00 1.000000000000000000e+00 1.248122826727230524e-100 2.199999999999994460e-01 7.800000000000004707e-01 -1.000000000000000000e+00 -1.180054503701543290e+05 2.540010450120715859e+02
1.363495656437465484e-06 3.011666666666762762e-02 1.198627255925946607e-02 0.000000000000000000e+00 3.699890881158089586e-08 5.243931071747233441e-03 -1.295964077485628029e-04 -2.722413455302709326e-09 0.000000000000000000e+00 3.845008505463309803e+02 3.203250334263183845e+02 1.619296866941639416e-05 2.290600627961985464e-02 0.000000000000000000e+00 0.000000000000000000e+00 0 0.000000000000000000e+00 1.000000000000000000e+00 7.163912178745309529e-100 2.199999999999994738e-01 7.800000000000005818e-01 -1.000000000000000000e+00 -1.180054437655241345e+05 2.540010541500516865e+02
1.374720956486452230e-06 3.011666666666762762e-02 1.198627255925946607e-02 0.000000000000000000e+00 3.699890881158089586e-08 5.243930909924889722e-03 -1.296855156762214128e-04 -2.528166281631219132e-09 0.000000000000000000e+00 3.845008525289610475e+02 3.203250391815028024e+02 1.619296914056610100e-05 2.290600697554043622e-02 0.000000000000000000e+00 0.000000000000000000e+00 0 0.000000000000000000e+00 1.000000000000000000e+00 1.611381415349052079e-99 2.199999999999994738e-01 7.800000000000005818e-01 -1.000000000000000000e+00 -1.180054371536973340e+05 2.540010632979887930e+02
1.380333606510945604e-06 3.011666666666762762e-02 1.198627255925946607e-02 0.000000000000000000e+00 3.699890881158089586e-08 5.243930829688730859e-03 -1.297102392251822016e-04 -2.423347136811116158e-09 0.000000000000000000e+00 3.845008535769845821e+02 3.203250420620933596e+02 1.619296937638642966e-05 2.290600732386328595e-02 0.000000000000000000e+00 0.000000000000000000e+00 0 0.000000000000000000e+00 1.000000000000000000e+00 2.135128298082121754e-99 2.199999999999994182e-01 7.800000000000004707e-01 -1.000000000000000000e+00 -1.180054338443391462e+05 2.540010678767234538e+02
1.391558906559932351e-06 3.011666666666762762e-02 1.198627255925946607e-02 0.000000000000000000e+00 3.699890881158089586e-08 5.243930670597336287e-03 -1.297174047213108861e-04 -2.203496044637071354e-09 0.000000000000000000e+00 3.845008557887072698e+02 3.203250478292687262e+02 1.619296984851777992e-05 2.290600802123380839e-02 0.000000000000000000e+00 0.000000000000000000e+00 0 0.000000000000000000e+00 1.000000000000000000e+00 3.287923543980897620e-99 2.199999999999994460e-01 7.800000000000004707e-01 -1.000000000000000000e+00 -1.180054272187364695e+05 2.540010770437204712e+02
1.402784206608919098e-06 3.011666666666762762e-02 1.198627255925946607e-02 0.000000000000000000e+00 3.699890881158089586e-08 5.243930513375895559e-03 -1.296658414058538445e-04 -1.977626253591663682e-09 0.000000000000000000e+00 3.845008581561399410e+02 3.203250536041741725e+02 1.619297032128195866e-05 2.290600871953906575e-02 0.000000000000000000e+00 0.000000000000000000e+00 0 0.000000000000000000e+00 1.000000000000000000e+00 4.513346470143068921e-99 2.199999999999994460e-01 7.800000000000004707e-01 -1.000000000000000000e+00 -1.180054205842530064e+05 2.540010862230047621e+02
1.414009506657905845e-06 3.011666666666762762e-02 1.198627255925946607e-02 0.000000000000000000e+00 3.699890881158089586e-08 5.243930358037655892e-03 -1.295545487785156177e-04 -1.762444395424762415e-09 0.000000000000000000e+00 3.845008606785793859e+02 3.203250593861137645e+02 1.619297079462198767e-05 2.290600941869488927e-02 0.000000000000000000e+00 0.000000000000000000e+00 0 0.000000000000000000e+00 1.000000000000000000e+00 5.627514691477758744e-99 2.199999999999993905e-01 7.800000000000005818e-01 -1.000000000000000000e+00 -1.180054139416882244e+05 2.540010954134700398e+02
1.425232898458652712e-06 3.011666666666762762e-02 1.198627255925946607e-02 0.000000000000000000e+00 3.699890881158089586e-08 5.243930204591413201e-03 -1.293849503813911724e-04 -1.575618122883562869e-09 0.000000000000000000e+00 3.845008633515096790e+02 3.203250651729426295e+02 1.619297126836227702e-05 2.290601011844191695e-02 0.000000000000000000e+00 0.000000000000000000e+00 0 0.000000000000000000e+00 1.000000000000000000e+00 6.415421645035806936e-99 2.199999999999993905e-01 7.800000000000005818e-01 -1.000000000000000000e+00 -1.180054072935062431e+05 2.540011046117071203e+02
1.430843640234906207e-06 3.011666666666762762e-02 1.198627255925946607e-02 0.000000000000000000e+00 3.699890881158089586e-08 5.243930128569876913e-03 -1.292791085691320037e-04 -1.484220328871086741e-09 0.000000000000000000e+00 3.845008647424746755e+02 3.203250680676278535e+02 1.619297150533645767e-05 2.290601046846910127e-02 0.000000000000000000e+00 0.000000000000000000e+00 0 0.000000000000000000e+00 1.000000000000000000e+00 6.814104806144872403e-99 2.199999999999994738e-01 7.800000000000005818e-01 -1.000000000000000000e+00 -1.180054039679553243e+05 2.540011092128456198e+02
1.442065123787413195e-06 3.011666666666762762e-02 1.198627255925946607e-02 0.000000000000000000e+00 3.699890881158089586e-08 5.243929977867544355e-03 -1.290279484650077961e-04 -1.307439249956589721e-09 0.000000000000000000e+00 3.845008676285994511e+02 3.203250738594453537e+02 1.619297197948514565e-05 2.290601116881936516e-02 0.000000000000000000e+00 0.000000000000000000e+00 0 0.000000000000000000e+00 1.000000000000000000e+00 7.610238783775456239e-99 2.199999999999994738e-01 7.800000000000005818e-01 -1.000000000000000000e+00 -1.180053973140420276e+05 2.540011184190124425e+02
1.453286607339920184e-06 3.011666666666762762e-02 1.198627255925946607e-02 0.000000000000000000e+00 3.699890881158089586e-08 5.243929828883144885e-03 -1.287292550850821060e-04 -1.143190895629750607e-09 0.000000000000000000e+00 3.845008706444094742e+02 3.203250796528095634e+02 1.619297245376046166e-05 2.290601186935666347e-02 0.000000000000000000e+00 0.000000000000000000e+00 0 0.000000000000000000e+00 1.000000000000000000e+00 8.361080928894897212e-99 2.199999999999995015e-01 7.800000000000005818e-01 -1.000000000000000000e+00 -1.180053906583516509e+05 2.540011276276379988e+02
1.464508090892427173e-06 3.011666666666762762e-02 1.198627255925946607e-02 0.000000000000000000e+00 3.699890881158089586e-08 5.243929681508115170e-03 -1.283909243730677909e-04 -9.960434498577103236e-10 0.000000000000000000e+00 3.845008737763039335e+02 3.203250854453763168e+02 1.619297292797049854e-05 2.290601256979752851e-02 0.000000000000000000e+00 0.000000000000000000e+00 0 0.000000000000000000e+00 1.000000000000000000e+00 1.234211048631712515e-85 2.199999999999994738e-01 7.800000000000004707e-01 -1.000000000000000000e+00 -1.180053840035772300e+05 2.540011368349961458e+02
1.470118832668680667e-06 3.011666666666762762e-02 1.198627255925946607e-02 0.000000000000000000e+00 3.699890881158089586e-08 5.243929608383277388e-03 -1.282098158547244143e-04 -9.298702830920631908e-10 0.000000000000000000e+00 3.845008753808623965e+02 3.203250883405601712e+02 1.619297316498549940e-05 2.290601291988498406e-02 0.000000000000000000e+00 0.000000000000000000e+00 0 0.000000000000000000e+00 1.000000000000000000e+00 5.316963123089404895e-85 2.199999999999994738e-01 7.800000000000004707e-01 -1.000000000000000000e+00 -1.180053806774532277e+05 2.540011414369274689e+02
1.481337755659397108e-06 3.011666666666762762e-02 1.198627255925946607e-02 0.000000000000000000e+00 3.699890881158089586e-08 5.243929463199167862e-03 -1.278302628514289916e-04 -8.129878531613916972e-10 0.000000000000000000e+00 3.845008786555886218e+02 3.203250941257240356e+02 1.619297363858949437e-05 2.290601361943069014e-02 0.000000000000000000e+00 0.000000000000000000e+00 0 0.000000000000000000e+00 1.000000000000000000e+00 2.313976843329831052e-84 2.199999999999995293e-01 7.800000000000005818e-01 -1.000000000000000000e+00 -1.180053740311835136e+05 2.540011506325189146e+02
1.492554118088323001e-06 3.011666666666762762e-02 1.198627255925946607e-02 0.000000000000000000e+00 3.699890881158089586e-08 5.243929319289168493e-03 -1.274366259741213376e-04 -7.155156169024221799e-10 0.000000000000000000e+00 3.845008820025962564e+02 3.203250999021024086e+02 1.619297411147425334e-05 2.290601431791403422e-02 0.000000000000000000e+00 0.000000000000000000e+00 0 0.000000000000000000e+00 1.000000000000000000e+00 4.485469424843607437e-84 2.199999999999995015e-01 7.800000000000004707e-01 -1.000000000000000000e+00 -1.180053673950068187e+05 2.540011598141457512e+02
1.503770480517248894e-06 3.011666666666762762e-02 1.198627255925946607e-02 0.000000000000000000e+00 3.699890881158089586e-08 5.243929176449723360e-03 -1.270397627417486821e-04 -6.322347783556827029e-10 0.000000000000000000e+00 3.845008854035554009e+02 3.203251056682801163e+02 1.619297458352393946e-05 2.290601501516390665e-02 0.000000000000000000e+00 0.000000000000000000e+00 0 0.000000000000000000e+00 1.000000000000000000e+00 5.100103061166608391e-84 2.199999999999994460e-01 7.800000000000004707e-01 -1.000000000000000000e+00 -1.180053607705489994e+05 2.540011689795587699e+02
1.514986842946174787e-06 3.011666666666762762e-02 1.198627255925946607e-02 0.000000000000000000e+00 3.699890881158089586e-08 5.243929034505483144e-03 -1.266503059229721103e-04 -5.540471600236777649e-10 0.000000000000000000e+00 3.845008888391973869e+02 3.203251114215926236e+02 1.619297505452042143e-05 2.290601571085811375e-02 0.000000000000000000e+00 0.000000000000000000e+00 0 0.000000000000000000e+00 1.000000000000000000e+00 5.100102914322371303e-84 2.199999999999994460e-01 7.800000000000004707e-01 -1.000000000000000000e+00 -1.180053541608711821e+05 2.540011781245225393e+02
1.520595024160637733e-06 3.011666666666762762e-02 1.198627255925946607e-02 0.000000000000000000e+00 3.699890881158089586e-08 5.243928963813990554e-03 -1.264615017920583115e-04 -5.135715339581803174e-10 0.000000000000000000e+00 3.845008905640597732e+02 3.203251142926238231e+02 1.619297528955815940e-05 2.290601605802503743e-02 0.000000000000000000e+00 0.000000000000000000e+00 0 0.000000000000000000e+00 1.000000000000000000e+00 5.100102841021989146e-84 2.199999999999994460e-01 7.800000000000004707e-01 -1.000000000000000000e+00 -1.180053508624946408e+05 2.540011826880633521e+02
1.531811386589563626e-06 3.011666666666762762e-02 1.198627255925946607e-02 0.000000000000000000e+00 3.699890881158089586e-08 5.243928822883717894e-03 -1.261015467261744421e-04 -3.953925631956217821e-10 0.000000000000000000e+00 3.845008940162634303e+02 3.203251200219210659e+02 1.619297575858861352e-05 2.290601675081529315e-02 0.000000000000000000e+00 0.000000000000000000e+00 0 0.000000000000000000e+00 1.000000000000000000e+00 1.900599577567283402e-81 2.199999999999994738e-01 7.800000000000005818e-01 -1.000000000000000000e+00 -1.180053442804066290e+05 2.540011917948547193e+02
1.543023741290098965e-06 3.011666666666762762e-02 1.198627255925946607e-02 0.000000000000000000e+00 3.699890881158089586e-08 5.243928682515437527e-03 -1.257680100983427952e-04 -1.886679253196610952e-10 0.000000000000000000e+00 3.845008974606525385e+02 3.203251257308451727e+02 1.619297622595122251e-05 2.290601744114202989e-02 0.000000000000000000e+00 0.000000000000000000e+00 0 0.000000000000000000e+00 1.000000000000000000e+00 9.521913350671356482e-81 2.199999999999994738e-01 7.800000000000004707e-01 -1.000000000000000000e+00 -1.180053377217239758e+05 2.540012008692629877e+02
1.554236095990634303e-06 3.011666666666762762e-02 1.198627255925946607e-02 0.000000000000000000e+00 3.699890881158089586e-08 5.243928542978094041e-03 -1.254286015642831070e-04 5.811363834710189700e-11 0.000000000000000000e+00 3.845009009296311433e+02 3.203251314246676884e+02 1.619297669207753947e-05 2.290601812964267181e-02 0.000000000000000000e+00 0.000000000000000000e+00 0 0.000000000000000000e+00 1.000000000000000000e+00 1.876604119228276658e-80 2.199999999999995015e-01 7.800000000000003597e-01 -1.000000000000000000e+00 -1.180053311803905817e+05 2.540012099196673319e+02
1.565448450691169641e-06 3.011666666666762762e-02 1.198627255925946607e-02 0.000000000000000000e+00 3.699890881158089586e-08 5.243928404050677596e-03 -1.250994163120969270e-04 3.684431605705385070e-10 0.000000000000000000e+00 3.845009043980282968e+02 3.203251370996625269e+02 1.619297715666252074e-05 2.290601881586664182e-02 0.000000000000000000e+00 0.000000000000000000e+00 0 0.000000000000000000e+00 1.000000000000000000e+00 3.093577228653291680e-80 2.199999999999995293e-01 7.800000000000003597e-01 -1.000000000000000000e+00 -1.180053246606873872e+05 2.540012189401448666e+02
1.571054628041437311e-06 3.011666666666762762e-02 1.198627255925946607e-02 0.000000000000000000e+00 3.699890881158089586e-08 5.243928334629667856e-03 -1.249526494096070146e-04 5.517112844539402203e-10 0.000000000000000000e+00 3.845009061126824008e+02 3.203251399277361884e+02 1.619297738818352699e-05 2.290601915783910605e-02 0.000000000000000000e+00 0.000000000000000000e+00 0 0.000000000000000000e+00 1.000000000000000000e+00 3.761728711214872942e-80 2.199999999999995570e-01 7.800000000000004707e-01 -1.000000000000000000e+00 -1.180053214116621821e+05 2.540012234354045120e+02
1.582266982741972649e-06 3.011666666666762762e-02 1.198627255925946607e-02 0.000000000000000000e+00 3.699890881158089586e-08 5.243928195683356802e-03 -1.247047396235948771e-04 1.036164579476779931e-09 0.000000000000000000e+00 3.845009094840945636e+02 3.203251455630002624e+02 1.619297784951592885e-05 2.290601983925881491e-02 0.000000000000000000e+00 0.000000000000000000e+00 0 0.000000000000000000e+00 1.000000000000000000e+00 5.200316747707209129e-80 2.199999999999995293e-01 7.800000000000003597e-01 -1.000000000000000000e+00 -1.180053149376032670e+05 2.540012323927297473e+02
1.593478736107966651e-06 3.011666666666762762e-02 1.198627255925946607e-02 0.000000000000000000e+00 3.699890881158089586e-08 5.243928056496267864e-03 -1.245183463609745450e-04 1.730472664762056847e-09 0.000000000000000000e+00 3.845009127679276162e+02 3.203251511692039344e+02 1.619297830846930654e-05 2.290602051716451176e-02 0.000000000000000000e+00 0.000000000000000000e+00 0 0.000000000000000000e+00 1.000000000000000000e+00 6.853408589860138983e-80 2.199999999999995293e-01 7.800000000000004707e-01 -1.000000000000000000e+00 -1.180053084969302436e+05 2.540012413038632531e+02
1.604689888139419316e-06 3.011666666666762762e-02 1.198627255925946607e-02 0.000000000000000000e+00 3.699890881158089586e-08 5.243927916948003427e-03 -1.243937945087491149e-04 2.602654450945136232e-09 0.000000000000000000e+00 3.845009159529003568e+02 3.203251567453276607e+02 1.619297876496017988e-05 2.290602119143290982e-02 0.000000000000000000e+00 0.000000000000000000e+00 0 0.000000000000000000e+00 1.000000000000000000e+00 9.331126586113641016e-80 2.199999999999995848e-01 7.800000000000004707e-01 -1.000000000000000000e+00 -1.180053020908145118e+05 2.540012501671844234e+02
1.610295464155145648e-06 3.011666666666762762e-02 1.198627255925946607e-02 0.000000000000000000e+00 3.699890881158089586e-08 5.243927847001428853e-03 -1.243546573452412234e-04 3.112351171183061372e-09 0.000000000000000000e+00 3.845009175051675925e+02 3.203251595219293790e+02 1.619297899226742422e-05 2.290602152718136664e-02 0.000000000000000000e+00 0.000000000000000000e+00 0 0.000000000000000000e+00 1.000000000000000000e+00 1.101215426248189644e-79 2.199999999999995848e-01 7.800000000000004707e-01 -1.000000000000000000e+00 -1.180052989009224257e+05 2.540012545806290518e+02
1.621506616186598313e-06 3.011666666666762762e-02 1.198627255925946607e-02 0.000000000000000000e+00 3.699890881158089586e-08 5.243927706701917262e-03 -1.243222477542856811e-04 4.301034243496842607e-09 0.000000000000000000e+00 3.845009205234891851e+02 3.203251650516861559e+02 1.619297944496246510e-05 2.290602219584305516e-02 0.000000000000000000e+00 0.000000000000000000e+00 0 0.000000000000000000e+00 1.000000000000000000e+00 1.547261269215509511e-79 2.199999999999995293e-01 7.800000000000003597e-01 -1.000000000000000000e+00 -1.180052925480749400e+05 2.540012633702496601e+02
